Produto,Marca,Modelo,Categoria
INTTR MECANICO 3TX7466-1XA1,SIEMENS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > AUTOMAÇÃO INDUSTRIAL > Outros materiais de Automação Industrial"
DISJUNTOR MOTOR 3P 30-36A 690V S2 3RV20314PA10 SIEMENS,SIEMENS,3RV20314PA10,"MRO: MATERIAL, REPARO E OPERAÇÃO > AUTOMAÇÃO INDUSTRIAL > Outros materiais de Automação Industrial"
RELE SEG EXTENSAO 115-230V PARAF 4NA+1NF,SIEMENS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > AUTOMAÇÃO INDUSTRIAL > Outros materiais de Automação Industrial"
SUPORTE SIMATIC RF600 ANTENA 3 VIAS ACO INOX,SIEMENS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > AUTOMAÇÃO INDUSTRIAL > Outros materiais de Automação Industrial"
ELEMENTO ACUSTIC AJUSTAVEL 24V,SIEMENS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > AUTOMAÇÃO INDUSTRIAL > Outros materiais de Automação Industrial"
MODULO RELE 4S DIGITAL 120/230V ET200SP 6ES71326HD010BB1 SIEMENS,SIEMENS,6ES71326HD010BB1,"MRO: MATERIAL, REPARO E OPERAÇÃO > AUTOMAÇÃO INDUSTRIAL > Outros materiais de Automação Industrial"
RELE DE INTERFACE INDIVIDUAL 24VCC P/UNIDADE EM 24VCA/VCC 1NAF,SIEMENS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > AUTOMAÇÃO INDUSTRIAL > Outros materiais de Automação Industrial"
CONTATOR MINI POTENCIA TRIPOLAR 16A 24VCC 1NF,WEG, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > AUTOMAÇÃO INDUSTRIAL > Outros materiais de Automação Industrial"
MODULO EXPANSAO CLP CONTADOR/DETECTOR POSICAO (2ED/2SD) CANAL TM POSINPUT SIMAT,SIEMENS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > AUTOMAÇÃO INDUSTRIAL > Outros materiais de Automação Industrial"
CONECTOR PLUGAVEL 10P 3030213 VM,PHOENIX, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > AUTOMAÇÃO INDUSTRIAL > Outros materiais de Automação Industrial"
