ID Departamento,Departamento,ID Categoria,Categoria,ID subcategoria,Subcategoria
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S09,BARRAS E CHAPAS,C037,Barras de aço
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S09,BARRAS E CHAPAS,C060,Chapas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S09,BARRAS E CHAPAS,C114,Ferros Chatos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S09,BARRAS E CHAPAS,C190,Formas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S09,BARRAS E CHAPAS,C201,Hastes
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S09,BARRAS E CHAPAS,C229,Tarugos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S17,BATERIAS,C001,Baterias lítio
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S17,BATERIAS,C056,Baterias níquel
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S17,BATERIAS,C110,Baterias tracionárias
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S17,BATERIAS,C187,Outras baterias
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S25,BOMBAS E MOTORES,C002,Bombas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S25,BOMBAS E MOTORES,C057,Chaves e compressores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S25,BOMBAS E MOTORES,C111,Hélices
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S25,BOMBAS E MOTORES,C188,Juntas para bomba
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S25,BOMBAS E MOTORES,C199,Motobombas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S25,BOMBAS E MOTORES,C228,Motores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S25,BOMBAS E MOTORES,C274,Motovibradores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S25,BOMBAS E MOTORES,C293,Outros componentes bombas e motores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S25,BOMBAS E MOTORES,C311,Rotores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S25,BOMBAS E MOTORES,C326,Servomotores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S36,CORRENTES METÁLICAS E ENGRENAGENS,C042,Correntes
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S36,CORRENTES METÁLICAS E ENGRENAGENS,C095,Emendas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S36,CORRENTES METÁLICAS E ENGRENAGENS,C145,Engrenagens
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S36,CORRENTES METÁLICAS E ENGRENAGENS,C175,Manilhas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S36,CORRENTES METÁLICAS E ENGRENAGENS,C221,Olhal
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S36,CORRENTES METÁLICAS E ENGRENAGENS,C247,Outras correntes e engrenagens
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S36,CORRENTES METÁLICAS E ENGRENAGENS,C275,Polias
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S39,ELEMENTOS DE FIXAÇÃO E VEDAÇÃO,C026,Acoplamentos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S39,ELEMENTOS DE FIXAÇÃO E VEDAÇÃO,C080,Adesivos e fitas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S39,ELEMENTOS DE FIXAÇÃO E VEDAÇÃO,C133,Anéis elásticos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S39,ELEMENTOS DE FIXAÇÃO E VEDAÇÃO,C164,Chumbadores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S39,ELEMENTOS DE FIXAÇÃO E VEDAÇÃO,C215,Eletrodos de soldas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S39,ELEMENTOS DE FIXAÇÃO E VEDAÇÃO,C241,Gaxetas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S39,ELEMENTOS DE FIXAÇÃO E VEDAÇÃO,C270,Juntas de vedação
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S39,ELEMENTOS DE FIXAÇÃO E VEDAÇÃO,C291,Outros elementos de fixação e vedação
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S39,ELEMENTOS DE FIXAÇÃO E VEDAÇÃO,C308,"Parafusos, pregos, porcas, buchas e arruelas"
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S39,ELEMENTOS DE FIXAÇÃO E VEDAÇÃO,C325,Rebites e pinos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C027,Abrasivos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C081,Ferramentas de corte e desbaste
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C134,Outras ferramentas manuais
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C165,Ferramentas para construção civil
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C216,Ferramentas perfuradoras
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C739,Acessórios e consumíveis para ferramentas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C740,Alicates
