ID Departamento,Departamento,ID Categoria,Categoria,ID subcategoria,Subcategoria,Produto
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S09,BARRAS E CHAPAS,C001,Baterias lítio,
,,S17,BATERIAS,C002,Bombas,
,,S25,BOMBAS E MOTORES,C025,Amplificadores,
,,S36,CORRENTES METÁLICAS E ENGRENAGENS,C026,Acoplamentos,
,,S39,ELEMENTOS DE FIXAÇÃO E VEDAÇÃO,C027,Abrasivos,
,,S41,FERRAMENTAS,C028,Lonas e toldos,
,,S43,MATERIAIS DIVERSOS,C029,"Adaptadores, conexões e terminais",
,,S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C037,Barras de aço,
,,S47,MATERIAIS ELÉTRICOS E ELETRÔNICOS,C042,Correntes,
,,S49,LUBRIFICANTES,C048,Aditivos,
,,S51,"PARTES MECÂNICAS, ROLAMENTOS E CORREIAS",C049,Amortecedores,
,,S54,TUBOS E CONEXÕES,C051,Conexões,
,,S71,AUTOMAÇÃO INDUSTRIAL,C056,Baterias níquel,
,,S72,EMBALAGENS,C057,Chaves e compressores,
,,S73,ILUMINAÇÃO,C060,Chapas,
,,S74,QUÍMICOS INDUSTRIAIS,C079,Conduletes,
,,,,C080,Adesivos e fitas,
,,,,C081,Ferramentas de corte e desbaste,
,,,,C082,Outros materiais MRO,
,,,,C083,Amortecedor,
,,,,C095,Emendas,
,,,,C097,Cotovelos,
,,,,C103,Graxas,
,,,,C104,Antiderrapantes para correias,
,,,,C110,Baterias tracionárias,
,,,,C111,Hélices,
,,,,C114,Ferros Chatos,
,,,,C132,Fontes de energia,
,,,,C133,Anéis elásticos,
,,,,C134,Outras ferramentas manuais,
,,,,C135,Atuador pneumático,
,,,,C145,Engrenagens,
,,,,C150,Óleos lubrificantes,
,,,,C151,Correias e componentes,
,,,,C152,Joelhos,
,,,,C163,Fusíveis e disjuntores,
,,,,C164,Chumbadores,
,,,,C165,Ferramentas para construção civil,
,,,,C166,Balancin,
,,,,C175,Manilhas,
,,,,C178,Luvas,
,,,,C183,Outros fluidos,
,,,,C184,Mancal,
,,,,C187,Outras baterias,
,,,,C188,Juntas para bomba,
,,,,C190,Formas,
,,,,C199,Motobombas,
,,,,C201,Hastes,
,,,,C214,Outros objetos de iluminação,
,,,,C215,Eletrodos de soldas,
,,,,C216,Ferramentas perfuradoras,
,,,,C217,Cilindros,
,,,,C221,Olhal,
,,,,C223,Molas,
,,,,C224,Niples PVC,
,,,,C228,Motores,
,,,,C229,Tarugos,
,,,,C240,Módulos,
,,,,C241,Gaxetas,
,,,,C242,Eletroválvulas,
,,,,C247,Outras correntes e engrenagens,
,,,,C249,Tubos,
,,,,C253,Outros componentes de partes mecânicas,
,,,,C268,Engates,
,,,,C269,Outros componentes eletrônicos,
,,,,C270,Juntas de vedação,
,,,,C274,Motovibradores,
,,,,C275,Polias,
,,,,C277,Polias,
,,,,C278,União,
,,,,C289,Engates rápidos,
,,,,C290,Outros materiais elétricos,
,,,,C291,Outros elementos de fixação e vedação,
,,,,C293,Outros componentes bombas e motores,
,,,,C297,Retentores,
,,,,C307,Filtros de água,
,,,,C308,"Parafusos, pregos, porcas, buchas e arruelas",
,,,,C311,Rotores,
,,,,C314,Plugs e adaptadores,
,,,,C315,Rolamentos,
,,,,C324,Filtros de ar,
,,,,C325,Rebites e pinos,
,,,,C326,Servomotores,
,,,,C329,Resistências,
,,,,C330,Tensores de correias,
,,,,C337,Filtros de gás,
,,,,C340,Terminais,
,,,,C346,Filtros industriais,
,,,,C350,Tomadas e interruptores,
,,,,C358,Flanges,
,,,,C360,Transformadores,
,,,,C366,Luvas hidráulicas,
,,,,C377,Mangueiras hidráulicas e industriais,
,,,,C382,Molas,
,,,,C390,Outros materiais hidráulicos ou pneumáticos,
,,,,C395,União,
,,,,C400,Válvulas,
,,,,C716,Conexões,
,,,,C717,Engates,
,,,,C718,Esteira,
,,,,C719,Filtros,
,,,,C720,Mangueiras,
,,,,C721,Outros materiais de automação industrial,
,,,,C722,Válvulas,
,,,,C723,Ventosas,
,,,,C724,Bobinas kraft ou semi kraft,
,,,,C725,Caixas de papelão,
,,,,C726,Embalagens descartáveis,
,,,,C727,Embalagens para delivery,
,,,,C728,Envelopes de segurança,
,,,,C729,Etiquetas e tags,
,,,,C730,Filme stretch,
,,,,C731,Fitas adesivas,
,,,,C732,"Fitas, laços e cordões",
,,,,C733,Lacres,
,,,,C734,Latas,
,,,,C735,Pallets,
,,,,C736,Potes e vidros,
,,,,C737,Sacos e sacolas kraft,
,,,,C738,Sacos e sacolas plásticas,
,,,,C739,Acessórios e consumíveis para ferramentas,
,,,,C740,Alicates,
,,,,C741,Chave allen/hexagonal,
,,,,C742,Chave biela,
,,,,C743,Chave combinada,
,,,,C744,Chave de fenda e Phillips,
,,,,C745,Ferramentas a bateria,
,,,,C746,Ferramentas automotivas,
,,,,C747,Ferramentas de medição,
,,,,C748,Ferramentas elétricas,
,,,,C749,Ferramentas para jardim,
,,,,C750,Ferramentas para pintura,
,,,,C751,Ferramentas para solda,
,,,,C752,Jogos de chave combinada,
,,,,C753,Jogos de ferramentas,
,,,,C754,Jogos de soquetes,
,,,,C755,Torquímetro,
,,,,C756,Abajures e cúpulas,
,,,,C757,Cordões de luz,
,,,,C758,Fitas de LED,
,,,,C759,Kits de lâmpadas,
,,,,C760,Lâmpadas de LED,
,,,,C761,Lâmpadas fluorescentes,
,,,,C762,Lâmpadas halógenas,
,,,,C763,Lâmpadas incandescentes,
,,,,C764,Lâmpadas inteligentes,
,,,,C765,Luminárias,
,,,,C766,Lustres e pendentes,
,,,,C767,Outros tipos de lâmpadas,
,,,,C768,Painel de LED,
,,,,C769,Refletores,
,,,,C770,Soquetes para lâmpadas,
,,,,C771,Spots,
,,,,C772,Adubos e fertilizantes,
,,,,C773,Cabos e fios elétricos,
,,,,C774,Chaves magnéticas,
,,,,C775,Contatores,
,,,,C776,Energia solar,
,,,,C777,Extensões elétricas e filtros de linha,
,,,,C778,Ferramentas de eletricista,
,,,,C779,Quadros e caixas elétricas,
,,,,C780,Reatores e soquetes,
,,,,C781,Tubos e eletrodutos,
,,,,C782,Ácidos,
,,,,C783,Gases,
,,,,C784,Metais químicos,
,,,,C785,Químicos inorgânicos,
,,,,C786,Químicos orgânicos,
,,,,C787,Reagentes químicos,
,,,,C788,Solventes,
